,AAPL,MSFT,^GSPC
2020-07-10,75.75232467651367,176.4722001647949,2894.055397949219
2020-07-13,75.96164970397949,176.8340002441406,2893.3486987304686
2020-07-14,76.21202476501465,177.2368002319336,2894.0417993164065
2020-07-15,76.45764976501465,177.61550018310547,2895.1435009765623
2020-07-16,76.7390747833252,178.0729002380371,2897.5116015625
2020-07-17,77.01894981384277,178.48160034179688,2900.216701660156
2020-07-20,77.25549980163574,178.8697004699707,2901.832802734375
2020-07-21,77.5021997833252,179.31210052490235,2904.3721020507815
2020-07-22,77.71807479858398,179.72410049438477,2905.8311010742186
2020-07-23,77.91422477722168,180.0868003845215,2907.94830078125
2020-07-24,78.11779975891113,180.48410034179688,2910.3808984375
2020-07-27,78.40047470092773,181.01640045166016,2915.309396972656
2020-07-28,78.61964973449707,181.4274005126953,2918.671496582031
2020-07-29,78.88147476196289,181.93170043945312,2923.842097167969
2020-07-30,79.2227997970581,182.58010040283204,2931.497897949219
2020-07-31,79.59047481536865,183.04190032958985,2937.098898925781
2020-08-03,80.07432479858399,183.8531002807617,2946.183701171875
2020-08-04,80.53882480621338,184.52030014038087,2953.956901855469
2020-08-05,81.02277481079102,185.2457002258301,2963.2536010742188
2020-08-06,81.54984977722168,185.98210021972656,2972.6513012695314
2020-08-07,82.08787479400635,186.7334001159668,2983.11490234375
2020-08-10,82.65422481536865,187.4561001586914,2994.3456030273437
2020-08-11,83.13077480316161,188.00650024414062,3003.2092016601564
2020-08-12,83.64707481384278,188.62920028686523,3012.257102050781
2020-08-13,84.15107482910156,189.15510025024415,3019.6907006835936
2020-08-14,84.68079982757568,189.74710021972658,3028.004501953125
2020-08-17,85.18984981536865,190.24760025024415,3035.5579028320312
2020-08-18,85.70974983215332,190.7854002380371,3043.6098022460938
2020-08-19,86.26454978942871,191.36130020141601,3052.653303222656
2020-08-20,86.83497482299805,191.95450027465822,3061.239404296875
2020-08-21,87.47514984130859,192.54640029907227,3070.3245043945312
2020-08-24,88.07754981994628,193.03060028076172,3078.000505371094
2020-08-25,88.67722480773926,193.56040023803712,3085.842607421875
2020-08-26,89.27727478027344,194.12060012817383,3093.130107421875
2020-08-27,89.8573998260498,194.7350001525879,3100.0774072265626
2020-08-28,90.43549987792969,195.3727001953125,3107.259306640625
2020-08-31,91.04277481079102,195.9729002380371,3114.6461083984377
2020-09-01,91.6669497680664,196.5086003112793,3121.4520068359375
2020-09-02,92.2698747253418,197.10630020141602,3129.426806640625
2020-09-03,92.76194969177246,197.50890029907225,3135.9819067382814
2020-09-04,93.26454971313477,197.8654002380371,3141.5059057617186
2020-09-07,93.78182472229004,198.25730026245117,3147.54390625
2020-09-08,94.23909973144531,198.60570022583008,3153.4967065429687
2020-09-09,94.72204971313477,198.9834001159668,3159.4932055664062
2020-09-10,95.16937469482421,199.32290008544922,3164.9071044921875
2020-09-11,95.58194969177246,199.6177000427246,3169.949404296875
2020-09-14,96.02762466430664,199.93130004882812,3175.0000048828124
2020-09-15,96.48657470703125,200.32100006103516,3180.37810546875
2020-09-16,96.88854965209961,200.5972001647949,3184.8379052734376
2020-09-17,97.25744964599609,200.83420013427735,3189.2837060546876
2020-09-18,97.60317459106446,201.09240005493163,3194.1713061523437
2020-09-21,97.97107460021972,201.32940002441407,3198.5545068359374
2020-09-22,98.34527458190918,201.59600006103517,3203.025808105469
2020-09-23,98.66489959716797,201.77650009155275,3206.9108081054687
2020-09-24,98.98774963378906,201.97240005493165,3210.5648095703127
2020-09-25,99.335224609375,202.20380020141602,3214.251408691406
2020-09-28,99.69729957580566,202.43080017089844,3218.4655102539064
2020-09-29,100.0596745300293,202.67830017089844,3223.1190087890627
2020-09-30,100.44864952087403,202.984100189209,3228.5490087890626
2020-10-01,100.842699508667,203.3034002685547,3233.832009277344
2020-10-02,101.20362449645997,203.53370025634766,3238.679208984375
2020-10-05,101.58122451782226,203.78840026855468,3243.226110839844
2020-10-06,101.92997451782226,204.01120025634765,3247.6064111328124
2020-10-07,102.282699508667,204.2529002380371,3252.0847094726564
2020-10-08,102.64027450561524,204.52440032958984,3257.06791015625
2020-10-09,103.01274948120117,204.84740036010743,3262.2848095703125
2020-10-12,103.45952445983886,205.2263003540039,3268.072509765625
2020-10-13,103.87869941711426,205.63920028686525,3273.2741088867188
2020-10-14,104.29532447814941,206.0297003173828,3277.7995092773435
2020-10-15,104.70679946899413,206.41230041503906,3282.3356103515625
2020-10-16,105.10214942932129,206.77640045166015,3286.7306103515625
2020-10-19,105.45732444763183,207.09030044555664,3290.442509765625
2020-10-20,105.82407447814941,207.3877003479004,3294.0655102539063
2020-10-21,106.17997451782226,207.68210037231447,3297.1924096679686
2020-10-22,106.53167449951172,208.0018003845215,3300.60380859375
2020-10-23,106.85332450866699,208.29210037231445,3303.318408203125
2020-10-26,107.17017456054687,208.50930038452148,3305.004208984375
2020-10-27,107.47619956970215,208.7438003540039,3306.839208984375
2020-10-28,107.70609954833985,208.8022003173828,3307.6481103515625
2020-10-29,108.01954956054688,208.98670028686524,3310.7282104492188
2020-10-30,108.26114959716797,209.13400024414062,3313.0147094726562
2020-11-02,108.49137458801269,209.2679002380371,3315.451208496094
2020-11-03,108.7155746459961,209.39650009155272,3317.8954077148437
2020-11-04,108.9860996246338,209.61800003051758,3321.1949072265625
2020-11-05,109.29707458496094,209.88769989013673,3325.146005859375
2020-11-06,109.60967460632324,210.1733999633789,3329.2630053710936
2020-11-09,109.87569961547851,210.3515998840332,3333.589404296875
2020-11-10,110.1190746307373,210.44259979248048,3337.731804199219
2020-11-11,110.41382461547852,210.62969985961914,3342.9551025390624
2020-11-12,110.69382461547852,210.78069992065429,3347.4876025390627
2020-11-13,111.0023496246338,210.9824998474121,3353.2486010742186
2020-11-16,111.30089965820312,211.17039978027344,3358.9853002929685
2020-11-17,111.58279968261719,211.27989990234374,3364.0777001953124
2020-11-18,111.85282470703125,211.34369995117189,3368.596999511719
2020-11-19,112.12894973754882,211.40529998779297,3373.1156005859375
2020-11-20,112.39207473754882,211.4466000366211,3377.3909008789065
2020-11-23,112.59594970703125,211.4407000732422,3381.3696020507814
2020-11-24,112.8159246826172,211.4968000793457,3386.2705004882814
2020-11-25,113.02279968261719,211.50720001220702,3390.867600097656
2020-11-26,113.22557464599609,211.5026998901367,3395.6435986328124
2020-11-27,113.43227462768554,211.51829986572267,3400.17669921875
2020-11-30,113.66799964904786,211.58829986572266,3404.840798339844
2020-12-01,113.92462463378907,211.66689987182616,3409.49009765625
2020-12-02,114.1781746673584,211.74019989013672,3413.9145971679686
2020-12-03,114.44234970092774,211.8433999633789,3418.426096191406
2020-12-04,114.70157470703126,211.9581999206543,3423.169997558594
2020-12-07,114.9554997253418,211.98509979248047,3427.5711962890623
2020-12-08,115.22929969787597,212.05769973754883,3432.020695800781
2020-12-09,115.47437469482422,212.0581997680664,3435.9886962890623
2020-12-10,115.77832466125489,212.1379998779297,3440.313098144531
2020-12-11,116.07627471923828,212.25759979248048,3444.7913989257813
2020-12-14,116.34597473144531,212.36109970092772,3448.872199707031
2020-12-15,116.69224967956544,212.48219970703124,3453.6340014648435
2020-12-16,117.01994964599609,212.63439971923827,3458.061301269531
2020-12-17,117.34504959106445,212.7895997619629,3462.8239013671873
2020-12-18,117.54904960632324,212.92539978027344,3467.2067993164064
2020-12-21,117.74197456359863,212.985899810791,3471.2098974609376
2020-12-22,117.96412460327149,213.09239990234374,3475.0173974609374
2020-12-23,118.17309967041015,213.1731999206543,3478.639797363281
2020-12-24,118.35377471923829,213.23719985961915,3482.178798828125
2020-12-25,118.56234970092774,213.33989990234375,3485.6965991210936
2020-12-28,118.80197471618652,213.50699996948242,3489.445500488281
2020-12-29,119.0569246673584,213.71469985961915,3493.379001464844
2020-12-30,119.26402465820313,213.8395997619629,3496.895900878906
2020-12-31,119.44082466125488,213.97679977416993,3500.722302246094
2021-01-01,119.61864967346192,214.11199981689452,3504.554501953125
2021-01-04,119.76667472839355,214.18609985351563,3507.741101074219
2021-01-05,119.92114967346191,214.25019973754883,3511.1119018554687
2021-01-06,120.03007469177246,214.2756997680664,3514.8447998046877
2021-01-07,120.15652465820312,214.3127996826172,3519.0276000976564
2021-01-08,120.23332466125488,214.37879959106445,3523.3028002929686
2021-01-11,120.26454963684083,214.41679962158204,3526.986101074219
2021-01-12,120.30429969787598,214.4013995361328,3530.5617993164065
2021-01-13,120.34797470092774,214.35329956054687,3533.872900390625
2021-01-14,120.38697471618653,214.21769958496094,3536.982800292969
2021-01-15,120.4102996826172,214.0550994873047,3539.5852001953126
2021-01-18,120.39129974365234,213.92629943847658,3542.264599609375
2021-01-19,120.32779983520508,213.81799942016602,3544.9871997070313
2021-01-20,120.33409988403321,213.74489944458008,3547.6972998046876
2021-01-21,120.4939998626709,213.82159942626953,3551.677399902344
2021-01-22,120.67509994506835,213.93859939575196,3555.8225
2021-01-25,120.89469993591308,214.0913993835449,3560.106501464844
2021-01-26,121.19809997558593,214.38809936523438,3565.2843017578125
2021-01-27,121.44549995422364,214.6041993713379,3568.80240234375
2021-01-28,121.68149993896485,214.93979934692382,3573.2843017578125
2021-01-29,121.88110000610351,215.21909942626954,3577.017001953125
2021-02-01,122.06889999389648,215.56149932861328,3580.920202636719
2021-02-02,122.26340003967285,215.86879928588868,3585.1713037109375
2021-02-03,122.48150009155273,216.24829925537108,3589.6181030273438
2021-02-04,122.75200012207031,216.63929916381835,3594.765402832031
2021-02-05,123.05120010375977,217.0573991394043,3600.43900390625
2021-02-08,123.31950012207031,217.45669921875,3606.7843041992187
2021-02-09,123.56150009155273,217.82019927978516,3612.7409033203126
2021-02-10,123.8442000579834,218.24249938964843,3619.4705029296874
2021-02-11,124.1133000946045,218.65549942016602,3626.168400878906
2021-02-12,124.3442000579834,219.02719940185546,3632.5321020507813
2021-02-15,124.54830001831054,219.38269943237304,3638.3644018554687
2021-02-16,124.7393000793457,219.7470994567871,3644.335603027344
2021-02-17,124.88960006713867,220.08579940795897,3650.0189038085937
2021-02-18,125.01880012512207,220.39909927368163,3655.350603027344
2021-02-19,125.18730010986329,220.7468992614746,3660.933503417969
2021-02-22,125.28230010986329,220.98819915771483,3665.6125024414064
2021-02-23,125.4093000793457,221.26179916381835,3670.81650390625
2021-02-24,125.51200004577636,221.50899917602538,3675.8764038085938
2021-02-25,125.57220001220703,221.69309921264647,3679.70150390625
2021-02-26,125.61510002136231,221.85879928588867,3683.0416040039063
2021-03-01,125.64900001525879,222.0141993713379,3686.717604980469
2021-03-02,125.6892000579834,222.12429931640625,3690.3012060546876
2021-03-03,125.69790000915528,222.19129928588868,3693.611706542969
2021-03-04,125.69209999084472,222.26199920654298,3696.463005371094
2021-03-05,125.71610000610352,222.38139923095704,3700.044304199219
2021-03-08,125.7198999786377,222.5130992126465,3703.9886059570313
2021-03-09,125.7556999206543,222.7043992614746,3708.311804199219
2021-03-10,125.78679992675781,222.88059921264647,3712.9443041992185
2021-03-11,125.84889991760254,223.10299926757813,3717.802805175781
2021-03-12,125.90879989624024,223.29819931030272,3722.5823071289065
2021-03-15,125.99819984436036,223.54549926757812,3728.2620068359374
2021-03-16,126.08789985656739,223.79009933471679,3733.982307128906
2021-03-17,126.22349990844727,224.1336993408203,3741.0132080078124
2021-03-18,126.27559989929199,224.39369934082032,3747.066706542969
2021-03-19,126.38689987182617,224.67249938964844,3753.4981079101562
2021-03-22,126.533099899292,225.00909942626953,3759.801608886719
2021-03-23,126.6540998840332,225.32059951782227,3765.2152099609375
2021-03-24,126.70549987792968,225.51129959106444,3769.672209472656
2021-03-25,126.72109985351562,225.60179962158202,3773.66291015625
2021-03-26,126.74629981994629,225.7293995666504,3778.3139111328123
2021-03-29,126.79699981689453,225.89789962768555,3782.519812011719
2021-03-30,126.83629981994629,226.10629974365236,3786.650012207031
2021-03-31,126.86289985656738,226.29849975585938,3790.6523120117185
2021-04-01,126.90079986572266,226.56759979248048,3795.4809130859376
2021-04-02,126.93819984436035,226.82599990844727,3799.828115234375
2021-04-05,126.99419982910156,227.14440002441407,3804.338115234375
2021-04-06,127.0623998260498,227.4783999633789,3808.982214355469
2021-04-07,127.16109985351562,227.8665998840332,3814.1038134765627
2021-04-08,127.27829986572266,228.27489990234375,3819.2568115234376
2021-04-09,127.43489990234374,228.72949996948242,3824.9694091796873
2021-04-12,127.60879997253419,229.1875,3830.473410644531
2021-04-13,127.80139991760254,229.63379989624025,3835.5352099609377
2021-04-14,127.96139991760253,230.05099990844727,3840.4853125
2021-04-15,128.14609992980957,230.5072999572754,3845.8930126953123
2021-04-16,128.32180000305175,230.96239990234375,3851.3642138671876
2021-04-19,128.4796999359131,231.4090997314453,3856.7805126953126
2021-04-20,128.58359992980957,231.8295997619629,3861.5054125976562
2021-04-21,128.687799911499,232.28169967651368,3866.54951171875
2021-04-22,128.77779991149902,232.71099975585938,3871.2321118164064
2021-04-23,128.89849998474122,233.1788996887207,3876.042609863281
2021-04-26,129.00819999694824,233.65149963378906,3880.999211425781
2021-04-27,129.10830001831056,234.11109970092772,3885.8439135742187
2021-04-28,129.22630004882814,234.5386996459961,3890.9475146484374
2021-04-29,129.32870002746583,234.95859954833983,3896.3812158203127
2021-04-30,129.4192000579834,235.3477995300293,3901.5583154296874
2021-05-03,129.52680000305176,235.7243995666504,3907.0100170898436
2021-05-04,129.5265000152588,236.0609994506836,3911.7104174804685
2021-05-05,129.52940010070802,236.33289947509766,3916.3746166992187
2021-05-06,129.53980018615724,236.63599945068358,3921.166018066406
2021-05-07,129.5753002166748,236.97469955444336,3926.397919921875
2021-05-10,129.56150024414063,237.22059951782228,3931.3330224609376
2021-05-11,129.5018002319336,237.4434994506836,3935.981423339844
2021-05-12,129.41990013122557,237.623299407959,3939.7117236328127
2021-05-13,129.34990013122558,237.82609939575195,3943.806123046875
2021-05-14,129.30470008850097,238.0800993347168,3948.5140234375
2021-05-17,129.2005000305176,238.28229919433593,3952.793322753906
2021-05-18,129.10030006408692,238.47159927368165,3956.8012231445314
2021-05-19,129.01000007629395,238.6859992980957,3960.637624511719
2021-05-20,128.95620002746583,238.92659927368163,3964.668125
2021-05-21,128.8836000061035,239.15409927368165,3968.6660229492186
2021-05-24,128.86049995422363,239.48499923706055,3973.6300219726563
2021-05-25,128.81940002441405,239.82319931030273,3978.2427197265624
